subjects,prop_ceye_objects,prop_SA_objects,candy_consumption,prop_ceye_outofNaming_target,prop_ceye_outofNaming_objects,MCDI_12mo_CompTotal
7002,0.592303,0.35777,high,0.573964706,0.728475294,117
7003,0.76753,0.59647,high,0.498115342,0.671834289,129
7005,0.58384,0.296088,high,0.336571793,0.567229488,97
7006,0.334666,0.177438,low,0.236616261,0.336379913,26
7007,0.439424,0.183029,low,0.516693684,0.572518947,18
7008,0.63953,0.49713,high,0.433485167,0.637903875,185
7010,0.45126,0.247816,low,0.420667813,0.4247125,30
7011,0.368683,0.175301,low,0.336377,0.447563667,15
7013,0.53398,0.207248,low,0.405641814,0.529499314,237
7015,0.62509,0.350379,high,0.400980727,0.642802,116
7016,0.509156,0.197383,low,0.337478424,0.508215644,45
7017,0.404759,0.21053,low,0.318533548,0.473459355,51
7018,0.67707,0.273613,low,0.474816046,0.760347831,127
7019,0.559872,0.248429,low,0.50301356,0.63318436,83
7020,0.373491,0.204428,low,0.394522667,0.444785867,83
7021,0.60349,0.305616,high,0.30047,0.697882591,74
7022,0.68429,0.4649,high,0.393779468,0.694033532,123
7023,0.830247,0.664929,high,0.640924538,0.845549115,120
7025,0.70088,0.435957,high,0.492654794,0.696261853,172
7027,0.8597,0.495557,high,0.529310323,0.897488774,28
7029,0.53657,0.42975,high,0.493526591,0.609689545,155
7030,0.54781,0.271342,low,0.314235531,0.603324776,86
7031,0.283913,0.063035,low,0.189150413,0.441063261,10
7032,0.6919,0.523677,high,0.553491625,0.704434542,63
7033,0.55265,0.320625,high,0.292381613,0.520034216,81
7034,0.70565,0.280094,high,0.443564744,0.691411308,111
7035,0.351561,0.157158,low,0.335319333,0.405805905,75
